,Position,Symbol,Lots,Lots Change/Max,Entry Execution,Entry Signal,Entry Bar,Entry Date,Entry Time,Entry Price,Entry Commission,Exit Execution,Exit Signal,Exit Bar,Exit Date,Exit Time,Exit Price,Exit Commission,Weighted entry price,P/L,P/L per trade,P/L per lot,Fixed P/L,Open P/L,Bars Held,Profit/Bar,Gross Profit/loss,% of Change,MAE,MAE %,MFE,MFE %
-,"Short","ETHUSDT",-0.16,+0.16,Normal,"S",5 001,22.08.2017,11:23:00,+310.24,+0.03971072,Normal,"sS",5 839,23.08.2017,02:09:00,+313.16,+0.04008448,+310.24000000,-0.54699520,-0.46720000,-3.41872000,-0.54699520,+0.00000000,838,-0.00065274,-0.54699520,-1.10,-10.52,-3.39%,+8.76,2.82%
-,"Long","ETHUSDT",+3.19,+3.19,Normal,"B",5 839,23.08.2017,02:09:00,+313.16,+0.79918432,Normal,"sB",18 983,04.09.2017,07:34:00,+290.99,+0.74260648,+313.16000000,-72.26409080,-70.72230000,-22.65332000,-72.26409080,+0.00000000,13 144,-0.00549788,-72.81108600,-7.23,-32.94,-10.52%,+81.23,25.94%
-,"Short","ETHUSDT",-0.16,+0.16,Normal,"S",18 983,04.09.2017,07:34:00,+290.99,+0.03724672,Normal,"sS",20 217,05.09.2017,12:18:00,+298.97,+0.03826816,+290.99000000,-1.35231488,-1.27680000,-8.45196800,-1.35231488,+0.00000000,1 234,-0.00109588,-74.16340088,-2.90,-23.28,-8.00%,+55.44,19.05%
-,"Long","ETHUSDT",+3.34,+3.34,Normal,"B",20 217,05.09.2017,12:18:00,+298.97,+0.79884784,Normal,"sB",22 791,08.09.2017,14:16:00,+273.01,+0.72948272,+298.97000000,-88.23473056,-86.70640000,-26.41758400,-88.23473056,+0.00000000,2 574,-0.03427923,-162.39813144,-8.84,-26.97,-9.02%,+43.53,14.56%
-,"Short","ETHUSDT",-0.17,+0.17,Normal,"S",22 791,08.09.2017,14:16:00,+273.01,+0.03712936,Normal,"sS",24 236,10.09.2017,18:05:00,+300.01,+0.04080136,+273.01000000,-4.66793072,-4.59000000,-27.45841600,-4.66793072,+0.00000000,1 445,-0.00323040,-167.06606216,-10.06,-37.45,-13.72%,+11.98,4.39%
-,"Long","ETHUSDT",+3.33,+3.33,Normal,"B",24 236,10.09.2017,18:05:00,+300.01,+0.79922664,Normal,"sB",25 953,12.09.2017,18:09:00,+292.10,+0.77815440,+300.01000000,-27.91768104,-26.34030000,-8.38368800,-27.91768104,+0.00000000,1 717,-0.01625957,-194.98374320,-2.79,-14.80,-4.93%,+16.45,5.48%
-,"Short","ETHUSDT",-0.16,+0.16,Normal,"S",25 953,12.09.2017,18:09:00,+292.10,+0.03738880,Normal,"sS",28 472,15.09.2017,14:16:00,+255.00,+0.03264000,+292.10000000,+5.86597120,+5.93600000,+36.66232000,+5.86597120,+0.00000000,2 519,+0.00232869,-189.11777200,+12.55,-5.56,-1.90%,+100.10,34.27%
-,"Long","ETHUSDT",+4.07,+4.07,Normal,"B",28 472,15.09.2017,14:16:00,+255.00,+0.83028000,Normal,"sB",32 626,21.09.2017,15:55:00,+267.02,+0.86941712,+255.00000000,+47.22170288,+48.92140000,+11.60238400,+47.22170288,+0.00000000,4 154,+0.01136777,-141.89606912,+4.55,-19.97,-7.83%,+51.22,20.09%
-,"Short","ETHUSDT",-0.18,+0.18,Normal,"S",32 626,21.09.2017,15:55:00,+267.02,+0.03845088,Normal,"sS",33 214,23.09.2017,11:19:00,+278.85,+0.04015440,+267.02000000,-2.20800528,-2.12940000,-12.26669600,-2.20800528,+0.00000000,588,-0.00375511,-144.10407440,-4.59,-11.98,-4.49%,+14.92,5.59%
-,"Long","ETHUSDT",+3.58,+3.58,Normal,"B",33 214,23.09.2017,11:19:00,+278.85,+0.79862640,Normal,"sB",39 089,28.09.2017,19:57:00,+298.00,+0.85347200,+278.85000000,+66.90490160,+68.55700000,+18.68852000,+66.90490160,+0.00000000,5 875,+0.01138807,-77.19917280,+6.70,-3.85,-1.38%,+34.15,12.25%
-,"Short","ETHUSDT",-0.16,+0.16,Normal,"S",39 089,28.09.2017,19:57:00,+298.00,+0.03814400,Normal,"sS",39 954,29.09.2017,11:54:00,+297.00,+0.03801600,+298.00000000,+0.08384000,+0.16000000,+0.52400000,+0.08384000,+0.00000000,865,+0.00009692,-77.11533280,+0.18,-6.06,-2.03%,+24.00,8.05%
-,"Long","ETHUSDT",+3.37,+3.37,Normal,"B",39 954,29.09.2017,11:54:00,+297.00,+0.80071200,Normal,"sB",43 575,02.10.2017,12:10:00,+300.09,+0.80904264,+297.00000000,+8.80354536,+10.41330000,+2.61232800,+8.80354536,+0.00000000,3 621,+0.00243125,-68.31178744,+0.88,-6.89,-2.32%,+10.49,3.53%
-,"Short","ETHUSDT",-0.16,+0.16,Normal,"S",43 575,02.10.2017,12:10:00,+300.09,+0.03841152,Normal,"sS",44 096,03.10.2017,00:37:00,+299.58,+0.03834624,+300.09000000,+0.00484224,+0.08160000,+0.03026400,+0.00484224,+0.00000000,521,+0.00000929,-68.30694520,+0.01,-1.90,-0.63%,+5.09,1.70%
-,"Long","ETHUSDT",+3.34,+3.34,Normal,"B",44 096,03.10.2017,00:37:00,+299.58,+0.80047776,Normal,"sB",44 342,03.10.2017,05:36:00,+296.33,+0.79179376,+299.58000000,-12.44727152,-10.85500000,-3.72672800,-12.44727152,+0.00000000,246,-0.05059866,-80.75421672,-1.24,-3.25,-1.08%,+1.42,0.47%
-,"Short","ETHUSDT",-0.16,+0.16,Normal,"S",44 342,03.10.2017,05:36:00,+296.33,+0.03793024,Normal,"sS",45 274,04.10.2017,01:22:00,+293.44,+0.03756032,+296.33000000,+0.38690944,+0.46240000,+2.41818400,+0.38690944,+0.00000000,932,+0.00041514,-80.36730728,+0.82,-0.47,-0.16%,+13.15,4.44%
-,"Long","ETHUSDT",+3.4,+3.4,Normal,"B",45 274,04.10.2017,01:22:00,+293.44,+0.79815680,Normal,"sB",45 763,04.10.2017,12:49:00,+289.93,+0.78860960,+293.44000000,-13.52076640,-11.93400000,-3.97669600,-13.52076640,+0.00000000,489,-0.02764983,-93.88807368,-1.36,-3.51,-1.20%,+4.53,1.54%
-,"Short","ETHUSDT",-0.17,+0.17,Normal,"S",45 763,04.10.2017,12:49:00,+289.93,+0.03943048,Normal,"sS",45 908,04.10.2017,16:01:00,+293.98,+0.03998128,+289.93000000,-0.76791176,-0.68850000,-4.51712800,-0.76791176,+0.00000000,145,-0.00529594,-94.65598544,-1.56,-4.46,-1.54%,+1.93,0.67%
-,"Long","ETHUSDT",+3.39,+3.39,Normal,"B",45 908,04.10.2017,16:01:00,+293.98,+0.79727376,Normal,"sB",46 094,04.10.2017,20:40:00,+289.82,+0.78599184,+293.98000000,-15.68566560,-14.10240000,-4.62704000,-15.68566560,+0.00000000,186,-0.08433154,-110.34165104,-1.57,-4.92,-1.67%,+0.41,0.14%
-,"Short","ETHUSDT",-0.17,+0.17,Normal,"S",46 094,04.10.2017,20:40:00,+289.82,+0.03941552,Normal,"sS",46 246,05.10.2017,01:07:00,+292.71,+0.03980856,+289.82000000,-0.57052408,-0.49130000,-3.35602400,-0.57052408,+0.00000000,152,-0.00375345,-110.91217512,-1.16,-3.68,-1.27%,+1.82,0.63%
-,"Long","ETHUSDT",+3.41,+3.41,Normal,"B",46 290,05.10.2017,02:12:00,+293.43,+0.80047704,Normal,"sB",46 352,05.10.2017,03:35:00,+289.13,+0.78874664,+293.43000000,-16.25222368,-14.66300000,-4.76604800,-16.25222368,+0.00000000,62,-0.26213264,-127.16439880,-1.62,-4.30,-1.47%,+1.37,0.47%
